season,State,District,Crop,Original Area (Hectare),Optimized Area (Hectare)
kharif,gujarat,gandhinagar,rice,9901.0,0.0
kharif,gujarat,gir somnath,bajra,1429.0,1429.0
kharif,gujarat,gir somnath,jowar,0.0,0.0
kharif,gujarat,gir somnath,maize,0.0,0.0
kharif,gujarat,gir somnath,rice,0.0,0.0
kharif,gujarat,jamnagar,bajra,242.0,252.0
kharif,gujarat,jamnagar,jowar,10.0,0.0
kharif,gujarat,jamnagar,maize,0.0,0.0
kharif,gujarat,junagadh,bajra,387.0,0.0
kharif,gujarat,junagadh,jowar,0.0,0.0
kharif,gujarat,junagadh,maize,0.0,0.0
kharif,gujarat,junagadh,rice,0.0,387.0
kharif,gujarat,kachchh,bajra,25412.0,51594.0
kharif,gujarat,kachchh,jowar,26120.0,0.0
kharif,gujarat,kachchh,maize,62.0,0.0
kharif,gujarat,kheda,bajra,21645.0,0.0
kharif,gujarat,kheda,jowar,0.0,0.0
kharif,gujarat,kheda,maize,184.0,0.0
kharif,gujarat,kheda,rice,108375.0,130204.0
kharif,gujarat,mahesana,bajra,4420.0,0.0
kharif,gujarat,mahesana,jowar,115.0,0.0
kharif,gujarat,mahesana,maize,302.0,0.0
