iteration,scenario,season,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
38,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,27.892777587054642,-27.892777587054642
38,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,38.89897534519807,-38.89897534519807
38,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-7.461753369918989,7.461753369918989
38,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-12.98924892067557,12.98924892067557
38,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-1.8518403105478782,1.8518403105478782
38,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-4.623417989328035,4.623417989328035
38,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,14.784882316247115,-14.784882316247115
38,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.23911726084463,-5.23911726084463
38,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,14.646804791473867,-14.646804791473867
38,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,1.351047532954207,-1.351047532954207
38,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,20.07118730789537,-20.07118730789537
38,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,8.907979610487484,-8.907979610487484
38,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,23.168306474544433,-23.168306474544433
38,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,3.6279349929172473,-3.6279349929172473
38,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,30.86445008535714,-30.86445008535714
38,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,46.25796549937873,-46.25796549937873
39,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,24.339581237789748,-24.339581237789748
39,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,10.957388096683921,-10.957388096683921
39,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,22.339410562188117,-22.339410562188117
39,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,9.629998404673172,-9.629998404673172
39,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,29.429855590879114,-29.429855590879114
39,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,40.85448721956466,-40.85448721956466
39,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-8.58067016469859,8.58067016469859
39,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-18.237510041149353,18.237510041149353
39,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-3.0478292813805816,3.0478292813805816
39,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-4.09706183845144,4.09706183845144
39,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,15.300405606804878,-15.300405606804878
39,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,4.251769743088514,-4.251769743088514
39,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,14.190829816397748,-14.190829816397748
39,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,3.569571810274958,-3.569571810274958
39,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,21.106408326521308,-21.106408326521308
39,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,7.605960286305517,-7.605960286305517
39,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.936734233925456,-22.936734233925456
39,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,7.091240573487639,-7.091240573487639
39,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,33.61021696084317,-33.61021696084317
