source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
haryana,odisha,500087620500.0,500095390512.7517,7770012.751688004
haryana,puducherry,0.0,0.0,0.0
haryana,punjab,6975056666.666667,6975056666.666667,0.0
haryana,rajasthan,1116812068333.3335,1116821679800.8423,9611467.508810043
haryana,sikkim,0.0,0.0,0.0
haryana,tamil nadu,699622303500.0,699939430701.3125,317127201.3125
haryana,telangana,2799790000.0,2799790000.0,0.0
haryana,tripura,125545491666.66667,125634502759.8272,89011093.16052246
haryana,uttar pradesh,3760395163333.334,3761290075530.754,894912197.4199219
haryana,uttarakhand,69570691666.66666,69571279576.7664,587910.0997462273
haryana,west bengal,2265749988666.6665,2265822455774.9775,72467108.31074524
himachal pradesh,andaman and nicobar,0.0,0.0,0.0
himachal pradesh,andhra pradesh,0.0,0.0,0.0
himachal pradesh,arunachal pradesh,0.0,0.0,0.0
himachal pradesh,assam,0.0,0.0,0.0
himachal pradesh,bihar,0.0,0.0,0.0
himachal pradesh,chandigarh,0.0,0.0,0.0
himachal pradesh,chhattisgarh,0.0,0.0,0.0
himachal pradesh,dadra and nagar haveli,0.0,0.0,0.0
himachal pradesh,daman and diu,0.0,0.0,0.0
himachal pradesh,delhi,0.0,0.0,0.0
himachal pradesh,goa,0.0,0.0,0.0
himachal pradesh,gujarat,0.0,0.0,0.0
himachal pradesh,haryana,0.0,0.0,0.0
himachal pradesh,jammu and kashmir,0.0,0.0,0.0
himachal pradesh,jharkhand,0.0,0.0,0.0
himachal pradesh,karnataka,0.0,0.0,0.0
himachal pradesh,kerala,0.0,0.0,0.0
himachal pradesh,lakshadeep,0.0,0.0,0.0
himachal pradesh,madhya pradesh,0.0,0.0,0.0
himachal pradesh,maharashtra,0.0,0.0,0.0
himachal pradesh,manipur,0.0,0.0,0.0
himachal pradesh,meghalaya,0.0,0.0,0.0
himachal pradesh,mizoram,0.0,0.0,0.0
himachal pradesh,nagaland,0.0,0.0,0.0
himachal pradesh,odisha,0.0,0.0,0.0
himachal pradesh,puducherry,0.0,0.0,0.0
himachal pradesh,punjab,0.0,0.0,0.0
himachal pradesh,rajasthan,0.0,0.0,0.0
himachal pradesh,sikkim,0.0,0.0,0.0
himachal pradesh,tamil nadu,0.0,0.0,0.0
himachal pradesh,telangana,0.0,0.0,0.0
himachal pradesh,tripura,0.0,0.0,0.0
himachal pradesh,uttar pradesh,0.0,0.0,0.0
himachal pradesh,uttarakhand,0.0,0.0,0.0
himachal pradesh,west bengal,1407676666.6666667,1407676666.6666667,0.0
jammu and kashmir,andaman and nicobar,0.0,0.0,0.0
jammu and kashmir,andhra pradesh,0.0,0.0,0.0
jammu and kashmir,arunachal pradesh,0.0,0.0,0.0
