scenario,state,metric,baseline_total,optimized_total,pct_reduction,display_pct_change
Water based,kerala,Phosphorus Surplus,3301205.675045984,3301205.6728125606,6.765477563301963e-08,-6.765477563301963e-08
Water based,madhya pradesh,Phosphorus Surplus,285298958.8127247,233686138.2734752,18.0907847522602,-18.0907847522602
Water based,maharashtra,Phosphorus Surplus,328764504.36395574,433849380.587376,-31.963571136343543,31.963571136343543
Water based,manipur,Phosphorus Surplus,10850694.21609321,9716611.916682696,10.451702691321815,-10.451702691321815
Water based,meghalaya,Phosphorus Surplus,5287647.013218964,5028576.678145843,4.8995391414263,-4.8995391414263
Water based,mizoram,Phosphorus Surplus,1818364.3974908243,1613615.2464246307,11.260072587690816,-11.260072587690816
Water based,nagaland,Phosphorus Surplus,11569894.813913902,11394293.94851961,1.5177395146506916,-1.5177395146506916
Water based,odisha,Phosphorus Surplus,103781253.09985784,120467462.96721311,-16.078250521122424,16.078250521122424
Water based,puducherry,Phosphorus Surplus,763272.7492434288,762173.4126137902,0.1440293303708601,-0.1440293303708601
Water based,punjab,Phosphorus Surplus,189199426.04065692,192000424.27454332,-1.4804475322691975,1.4804475322691975
Water based,rajasthan,Phosphorus Surplus,186832468.01111215,180048338.91196626,3.6311296271814983,-3.6311296271814983
Water based,sikkim,Phosphorus Surplus,1862938.9512019448,1842200.4328670877,1.113215133618681,-1.113215133618681
Water based,tamil nadu,Phosphorus Surplus,114851044.84992473,77092708.28996238,32.87591907352778,-32.87591907352778
Water based,telangana,Phosphorus Surplus,103784762.86706454,71172009.67860118,31.423450116888805,-31.423450116888805
Water based,tripura,Phosphorus Surplus,12090299.205656212,12064553.403246991,0.21294594923817778,-0.21294594923817778
Water based,uttar pradesh,Phosphorus Surplus,728349784.5714084,616611185.3697724,15.341337578260923,-15.341337578260923
Water based,uttarakhand,Phosphorus Surplus,24498827.40032555,23918371.743394494,2.3693201615165638,-2.3693201615165638
Water based,west bengal,Phosphorus Surplus,215378915.2026714,211403542.41638285,1.8457576418507524,-1.8457576418507524
Water based,andaman and nicobar,Nitrogen Surplus,548242.9583046617,548242.9583046617,0.0,-0.0
Water based,andhra pradesh,Nitrogen Surplus,345828762.1828158,334913174.91272664,3.1563561113863723,-3.1563561113863723
